symbol,market,status,delay,entry_price,stop,risk_pct,target_1R,target_2R,both_highs,us_high_quality,reversal_date,reversal_close,reversal_high,reversal_low,prev5_high,clv,body_frac,vol_ratio20,vol_expand,ema20_reclaim_on_day1,prev5_high_reclaim_on_day1,score
1117.HK,HK,CONFIRMED_ENTRY,1,1.6449999809265137,1.5199999809265137,0.07598784282635446,1.7699999809265137,1.8949999809265137,False,False,2026-09-17,1.600000023841858,1.6150000095367432,1.5199999809265137,1.7000000476837158,0.8421054612896183,0.631579409675776,1.1374309734436545,True,True,False,7
3931.HK,HK,CONFIRMED_ENTRY,2,19.209999084472656,16.1200008392334,0.16085363833967528,22.299997329711914,25.389995574951172,True,False,2026-09-16,17.520000457763672,17.719999313354492,16.1200008392334,17.450000762939453,0.8750005960470162,0.6062513411057864,3.330672497096299,True,False,True,7
1038.HK,HK,CONFIRMED_ENTRY,1,65.4000015258789,63.150001525878906,0.03440366892208207,67.6500015258789,69.9000015258789,False,False,2026-09-17,64.6500015258789,64.69999694824219,63.150001525878906,66.44999694824219,0.9677447935381298,0.3548417265124704,0.9289157102924548,False,True,False,6
6055.HK,HK,CONFIRMED_ENTRY,1,23.420000076293945,21.81999969482422,0.06831769326462427,25.020000457763672,26.6200008392334,False,False,2026-09-17,22.65999984741211,22.739999771118164,21.81999969482422,23.780000686645508,0.9130435684002115,0.43478215799894265,1.328614884178981,True,False,False,6
0267.HK,HK,CONFIRMED_ENTRY,1,13.039999961853027,12.6899995803833,0.026840520129878156,13.390000343322754,13.74000072479248,False,False,2026-09-17,12.869999885559082,12.869999885559082,12.6899995803833,13.569999694824219,1.0,0.7777783664646294,0.568565157431141,False,False,False,5
2628.HK,HK,CONFIRMED_ENTRY,1,29.3799991607666,28.1200008392334,0.042886261318066235,30.639997482299805,31.899995803833008,False,False,2026-09-17,28.639999389648438,28.799999237060547,28.1200008392334,30.360000610351562,0.7647055523610508,0.41176388090262683,0.7666829754380775,False,False,False,5
2799.HK,HK,CONFIRMED_ENTRY,1,0.6349999904632568,0.6000000238418579,0.055118058499284556,0.6699999570846558,0.7049999237060547,False,False,2026-09-17,0.6200000047683716,0.6200000047683716,0.6000000238418579,0.6449999809265137,1.0,0.5,0.6379594407502481,False,False,False,5
0354.HK,HK,CONFIRMED_ENTRY,2,3.890000104904175,3.5850000381469727,0.07840618471261337,4.195000171661377,4.500000238418579,True,False,2026-09-16,3.7049999237060547,3.7049999237060547,3.5850000381469727,3.859999895095825,1.0,0.6249990065883063,0.32064118920328866,False,False,False,5
6618.HK,HK,CONFIRMED_ENTRY,1,36.279998779296875,33.380001068115234,0.07993378745195878,39.179996490478516,42.079994201660156,True,False,2026-09-17,34.70000076293945,34.7400016784668,33.380001068115234,35.79999923706055,0.970587575312188,0.8970593185158591,1.015190635714802,False,False,False,5
2202.HK,HK,CONFIRMED_ENTRY,1,2.3499999046325684,2.1600000858306885,0.08085099000528985,2.5399997234344482,2.729999542236328,False,False,2026-09-17,2.200000047683716,2.2149999141693115,2.1600000858306885,2.3949999809265137,0.7272743035988313,0.4545486071976626,0.36689900382059465,False,False,False,5
