symbol,status,grade,quality_score,current_price,day_low,breakout_level,ema20_live,ema20_breakout_distance_pct,rs_vs_spy_pct,pct_below_52w_high,breakout_age_days,undercut_vs_breakout_pct,shallow_bonus,headroom_bonus,congestion_score,congestion_status,touched_breakout_today,touched_ema20_today,above_both_now,entry_marker,double_reclaim,reclaim_breakout,reclaim_breakout_only,candle_pattern,candle_side,high_conviction_score,high_conviction_entry,high_conviction_reasons
INSW,READY_NOW,A,7,104.83,100.77,102.24,102.245,0.005,20.59,7.34,7,-1.44,0,1,0,NONE,True,True,True,True,True,True,False,BULLISH_ENGULFING,BULL,10,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_A|BULL_CANDLE
AVTR,READY_NOW,B,7,15.38,14.67,14.835,14.922,0.589,53.75,4.17,12,-1.11,0,1,2,BOTH,True,True,True,True,True,True,False,BULLISH_ENGULFING,BULL,10,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_B|BULL_CANDLE
CRL,READY_NOW,C,6,294.37,276.95,277.07,280.43,1.213,40.68,2.95,29,-0.04,2,1,1,PRE_BREAKOUT,True,True,True,True,True,True,False,BULLISH_ENGULFING,BULL,9,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
HTFL,READY_NOW,C,4,48.57,47.23,47.95,47.45,1.043,34.15,6.99,21,-1.5,0,1,1,PRE_BREAKOUT,True,True,True,True,True,True,False,BULL_CANDLE,BULL,8,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
NUTX,READY_NOW,C,3,204.65,198.25,204.0,200.007,1.957,33.73,8.75,6,-2.82,0,0,1,PRE_BREAKOUT,True,True,True,False,True,True,False,BULL_CANDLE,BULL,8,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
SCCO,READY_NOW,C,3,201.7,197.95,201.2,198.333,1.425,14.47,8.64,21,-1.62,0,0,1,PRE_BREAKOUT,True,True,True,True,True,True,False,BULL_CANDLE,BULL,7,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
DHT,READY_NOW,C,3,21.675,21.035,21.59,21.235,1.642,14.26,8.0,7,-2.57,0,0,1,PRE_BREAKOUT,True,True,True,True,True,True,False,BULLISH_ENGULFING,BULL,7,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
KT,READY_NOW,D,5,19.54,19.415,19.37,19.487,0.601,4.74,20.5,18,0.23,2,0,3,BOTH,True,True,True,False,True,True,False,BULL_CANDLE,BULL,6,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|BULL_CANDLE
ETV,READY_NOW,D,5,15.24,15.15,15.201,15.167,0.221,1.4,1.61,16,-0.33,2,0,3,BOTH,True,True,True,False,True,True,False,BEAR_CANDLE,BEAR,6,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT
BIO,READY_NOW,D,3,387.34,376.18,385.92,376.442,2.456,33.34,2.24,19,-2.52,0,1,2,BOTH,True,True,True,False,True,True,False,BULLISH_ENGULFING,BULL,9,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
BNTX,READY_NOW,D,3,99.32,97.05,98.81,99.253,0.448,5.12,19.9,23,-1.78,0,0,3,BOTH,True,True,True,False,True,True,False,BULL_CANDLE,BULL,6,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|BULL_CANDLE
EXEL,READY_NOW,D,3,57.94,56.58,57.57,56.868,1.22,4.61,2.98,13,-1.72,0,1,2,BOTH,True,True,True,True,True,True,False,STRONG_BULL_CANDLE,BULL,7,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|BULL_CANDLE
