symbol,status,grade,quality_score,current_price,day_low,breakout_level,ema20_live,ema20_breakout_distance_pct,rs_vs_spy_pct,pct_below_52w_high,breakout_age_days,undercut_vs_breakout_pct,shallow_bonus,headroom_bonus,congestion_score,congestion_status,touched_breakout_today,touched_ema20_today,above_both_now,entry_marker,double_reclaim,reclaim_breakout,reclaim_breakout_only,candle_pattern,candle_side,high_conviction_score,high_conviction_entry,high_conviction_reasons
CRBG,READY_NOW,A+,14,33.74,32.35,32.47,32.598,0.394,30.58,3.07,19,-0.37,2,1,3,BOTH,True,True,True,True,True,True,False,STRONG_BULL_CANDLE,BULL,12,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_A+|BULL_CANDLE
GPN,READY_NOW,A,9,92.945,89.725,90.85,90.428,0.465,36.96,3.06,13,-1.24,0,1,2,BOTH,True,True,True,True,True,True,False,BULL_CANDLE,BULL,12,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_A|BULL_CANDLE
TTEK,READY_NOW,A,9,36.07,35.435,35.588,35.689,0.286,29.46,15.86,13,-0.43,2,0,1,FORMING_NOW,True,True,True,True,True,True,False,BULL_CANDLE,BULL,11,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_A|BULL_CANDLE
PCOR,READY_NOW,A,9,59.61,59.15,59.255,59.527,0.459,17.14,27.58,13,-0.18,2,0,1,PRE_BREAKOUT,True,True,True,False,True,True,False,BEAR_CANDLE,BEAR,9,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|GRADE_A
ADUS,READY_NOW,A,8,118.04,114.43,116.69,117.195,0.433,32.84,5.14,25,-1.94,0,1,1,PRE_BREAKOUT,True,True,True,False,True,True,False,STRONG_BULL_CANDLE,BULL,11,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_A|BULL_CANDLE
EQH,READY_NOW,B,11,51.78,49.64,49.715,50.022,0.617,30.21,3.59,19,-0.15,2,1,4,BOTH,True,True,True,True,True,True,False,STRONG_BULL_CANDLE,BULL,11,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_B|BULL_CANDLE
MAIN,READY_NOW,B,10,57.93,57.54,57.431,57.812,0.665,16.08,7.65,17,0.19,2,1,3,BOTH,True,True,True,False,True,True,False,BEAR_CANDLE,BEAR,8,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|GRADE_B
AEG,READY_NOW,B,10,9.255,9.22,9.24,9.218,0.238,14.51,3.69,23,-0.22,2,1,3,BOTH,True,True,True,False,True,True,False,BULL_CANDLE,BULL,10,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|GRADE_B|BULL_CANDLE
LNC,READY_NOW,B,8,44.39,43.03,43.06,43.437,0.875,33.37,6.88,23,-0.07,2,1,1,PRE_BREAKOUT,True,True,True,True,True,True,False,STRONG_BULL_CANDLE,BULL,10,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_B|BULL_CANDLE
ICFI,READY_NOW,B,8,88.89,87.435,87.43,87.935,0.577,29.81,11.91,17,0.01,2,0,2,FORMING_NOW,True,True,True,False,True,True,False,BULL_CANDLE,BULL,10,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_B|BULL_CANDLE
BMRN,READY_NOW,B,8,66.75,64.99,64.92,65.323,0.62,21.57,5.96,16,0.11,2,1,1,FORMING_NOW,True,True,True,False,True,True,False,STRONG_BULL_CANDLE,BULL,10,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_B|BULL_CANDLE
VLTO,READY_NOW,B,8,98.16,96.905,96.67,97.624,0.987,15.55,10.17,25,0.24,2,0,2,PRE_BREAKOUT,True,True,True,False,True,True,False,BULL_CANDLE,BULL,9,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|GRADE_B|BULL_CANDLE
FCNCA,READY_NOW,B,8,2183.97,2155.12,2175.556,2181.939,0.293,11.27,4.8,28,-0.94,1,1,2,BOTH,True,True,True,False,True,True,False,BULL_CANDLE,BULL,10,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|GRADE_B|BULL_CANDLE
CLH,READY_NOW,B,8,317.65,310.51,314.88,314.404,0.151,10.27,5.44,24,-1.39,0,1,3,BOTH,True,True,True,False,True,True,False,BULLISH_ENGULFING,BULL,9,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|GRADE_B|BULL_CANDLE
BWIN,READY_NOW,B,7,30.915,29.71,30.04,30.22,0.598,64.15,5.14,14,-1.1,0,1,2,BOTH,True,True,True,True,True,True,False,BULL_CANDLE,BULL,9,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_B|BULL_CANDLE
RGEN,READY_NOW,B,7,173.602,168.858,169.5,170.802,0.768,42.06,8.02,9,-0.38,2,0,1,PRE_BREAKOUT,True,True,True,True,True,True,False,BULL_CANDLE,BULL,9,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_B|BULL_CANDLE
GLIBA,READY_NOW,B,7,26.875,25.58,25.8,26.003,0.786,30.55,35.81,13,-0.85,1,0,2,BOTH,True,True,True,False,True,True,False,BULL_CANDLE,BULL,9,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_B|BULL_CANDLE
TRU,READY_NOW,B,7,82.74,81.725,81.977,82.605,0.766,18.87,12.81,25,-0.31,2,0,1,PRE_BREAKOUT,True,True,True,False,True,True,False,BEAR_CANDLE,BEAR,7,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|GRADE_B
BUSE,READY_NOW,B,7,30.55,29.825,30.4,30.372,0.091,14.24,3.63,24,-1.89,0,1,2,BOTH,True,True,True,False,True,True,False,BULL_CANDLE,BULL,9,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|GRADE_B|BULL_CANDLE
AIZ,READY_NOW,B,6,284.31,278.96,283.763,282.649,0.393,14.65,6.17,19,-1.69,0,1,1,PRE_BREAKOUT,True,True,True,False,True,True,False,BULL_CANDLE,BULL,8,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|GRADE_B|BULL_CANDLE
VOR,READY_NOW,B,5,24.74,22.67,23.07,22.839,1.0,83.53,50.47,18,-1.73,0,0,1,PRE_BREAKOUT,True,True,True,False,True,True,False,STRONG_BULL_CANDLE,BULL,9,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_B|BULL_CANDLE
RVMD,READY_NOW,B,5,210.2,205.22,208.761,207.053,0.818,34.2,6.29,11,-1.7,0,1,0,NONE,True,True,True,False,True,True,False,HAMMER_BEAR_BODY,BULL,9,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_B|BULL_CANDLE
JBS,READY_NOW,B,5,13.69,13.53,13.61,13.546,0.474,14.69,20.71,25,-0.59,1,0,0,NONE,True,True,True,False,True,True,False,BULL_CANDLE,BULL,8,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|GRADE_B|BULL_CANDLE
TMP,READY_NOW,C,6,97.725,95.54,96.439,97.721,1.329,17.31,4.74,27,-0.93,1,1,2,BOTH,True,True,True,False,True,True,False,BULLISH_ENGULFING,BULL,8,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
JOYY,READY_NOW,C,6,74.65,73.31,73.17,73.998,1.131,13.5,7.73,27,0.19,2,1,1,PRE_BREAKOUT,True,True,True,False,True,True,False,BULLISH_ENGULFING,BULL,7,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
AVNT,READY_NOW,C,5,44.16,43.17,43.96,43.363,1.358,28.41,5.32,17,-1.8,0,1,2,FORMING_NOW,True,True,True,True,True,True,False,BULL_CANDLE,BULL,8,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
SCSC,READY_NOW,C,5,57.045,55.52,56.02,55.403,1.102,23.81,14.58,25,-0.89,1,0,2,PRE_BREAKOUT,True,True,True,False,True,True,False,BULLISH_ENGULFING,BULL,8,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
ADMA,READY_NOW,C,5,9.53,9.32,9.33,9.454,1.333,22.26,53.42,18,-0.11,2,0,1,FORMING_NOW,True,True,True,False,True,True,False,BULL_CANDLE,BULL,8,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
OBK,READY_NOW,C,5,54.02,52.81,53.982,53.271,1.317,16.01,2.34,25,-2.17,0,1,2,BOTH,True,True,True,False,True,True,False,STRONG_BULL_CANDLE,BULL,8,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
DRI,READY_NOW,C,5,220.74,215.44,219.43,216.574,1.302,11.68,3.93,14,-1.82,0,1,2,BOTH,True,True,True,True,True,True,False,STRONG_BULL_CANDLE,BULL,8,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
OII,READY_NOW,C,4,51.97,50.52,51.48,50.684,1.547,36.25,4.2,27,-1.86,0,1,1,PRE_BREAKOUT,True,True,True,True,True,True,False,BULLISH_ENGULFING,BULL,9,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
NU,READY_NOW,C,4,15.465,14.43,14.845,14.575,1.821,32.31,18.52,12,-2.8,0,0,2,BOTH,True,True,True,False,True,True,False,STRONG_BULL_CANDLE,BULL,8,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
