symbol,status,grade,quality_score,current_price,day_low,breakout_level,ema20_live,ema20_breakout_distance_pct,rs_vs_spy_pct,pct_below_52w_high,breakout_age_days,undercut_vs_breakout_pct,shallow_bonus,headroom_bonus,congestion_score,congestion_status,touched_breakout_today,touched_ema20_today,above_both_now,entry_marker,double_reclaim,reclaim_breakout,reclaim_breakout_only,candle_pattern,candle_side,high_conviction_score,high_conviction_entry,high_conviction_reasons
GPN,READY_NOW,A+,12,92.54,90.185,90.85,90.734,0.128,37.68,3.48,15,-0.73,1,1,2,BOTH,True,True,True,True,True,True,False,BULL_CANDLE,BULL,12,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_A+|BULL_CANDLE
DBX,READY_NOW,A+,11,34.84,34.32,34.54,34.423,0.339,24.21,4.2,21,-0.64,1,1,1,FORMING_NOW,True,True,True,False,True,True,False,BEAR_CANDLE,BEAR,11,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_A+
EXLS,READY_NOW,A,10,36.63,36.04,36.2,36.294,0.26,21.07,18.74,11,-0.44,2,0,2,BOTH,True,True,True,False,True,True,False,HAMMER_BEAR_BODY,BULL,11,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_A|BULL_CANDLE
EFOR,READY_NOW,A,9,32.56,30.92,30.86,30.925,0.209,59.36,40.74,21,0.19,2,0,1,PRE_BREAKOUT,True,True,True,False,True,True,False,BULL_CANDLE,BULL,11,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_A|BULL_CANDLE
GLIBK,READY_NOW,A,9,26.26,25.575,25.74,25.62,0.468,19.41,36.22,15,-0.64,1,0,2,FORMING_NOW,True,True,True,False,True,True,False,BULL_CANDLE,BULL,10,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|GRADE_A|BULL_CANDLE
TNET,READY_NOW,A,8,69.06,67.67,68.5,68.35,0.218,46.56,5.5,26,-1.21,0,1,1,PRE_BREAKOUT,True,True,True,False,True,True,False,HAMMER,BULL,11,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_A|BULL_CANDLE
TSCO,READY_NOW,A,8,34.99,34.175,34.631,34.492,0.399,15.92,41.13,17,-1.32,0,0,2,FORMING_NOW,True,True,True,False,True,True,False,BULL_CANDLE,BULL,10,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|GRADE_A|BULL_CANDLE
NEOG,READY_NOW,A,7,11.84,11.37,11.56,11.564,0.033,30.65,7.86,24,-1.64,0,1,0,NONE,True,True,True,False,True,True,False,STRONG_BULL_CANDLE,BULL,10,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_A|BULL_CANDLE
ATI,READY_NOW,A,6,210.59,204.33,208.71,209.571,0.413,16.28,13.54,20,-2.1,0,0,0,NONE,True,True,True,True,True,True,False,BULL_CANDLE,BULL,9,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|GRADE_A|BULL_CANDLE
V,READY_NOW,B,10,374.97,373.64,373.277,372.991,0.077,13.71,2.75,8,0.1,2,1,3,BOTH,True,True,True,False,True,True,False,DOJI,NEUTRAL,9,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|GRADE_B
