symbol,status,grade,quality_score,market_cap_cad,market_cap_cad_bn,current_price,day_low,breakout_level,ema20_live,ema20_breakout_distance_pct,rs_vs_xiu_pct,pct_below_52w_high,breakout_age_days,undercut_vs_breakout_pct,shallow_bonus,headroom_bonus,congestion_score,congestion_status,touched_breakout_today,touched_ema20_today,above_both_now,entry_marker,double_reclaim,reclaim_breakout,reclaim_breakout_only,candle_pattern,candle_side,high_conviction_score,high_conviction_entry,high_conviction_reasons
POW.TO,READY_NOW,D,4,59238658262.0,59.24,94.39,92.27,93.92,92.859,1.13,7.06,3.35,27,-1.76,0,1,3,BOTH,True,True,True,False,True,True,False,BULL_CANDLE,BULL,7,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|BULL_CANDLE
CCL-B.TO,READY_NOW,D,3,15862796803.0,15.86,93.86,91.46,93.51,93.087,0.452,7.99,4.8,30,-2.19,0,1,2,BOTH,True,True,True,False,True,True,False,BULL_CANDLE,BULL,7,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|BULL_CANDLE
POU.TO,READY_NOW,D,2,4662963866.0,4.66,31.98,31.23,31.96,31.509,1.411,5.48,3.03,17,-2.28,0,1,1,FORMING_NOW,True,True,True,False,True,True,False,BULL_CANDLE,BULL,7,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|BULL_CANDLE
CVG.TO,RECLAIM_PENDING,D,5,1083855411.0,1.08,81.0,81.0,81.5,81.575,0.092,4.15,6.9,21,-0.61,1,1,3,BOTH,True,True,False,False,False,False,False,STRONG_BEAR_CANDLE,BEAR,0,False,
IMO.TO,RECLAIM_PENDING,D,4,87220782373.0,87.22,180.32,177.9,181.857,181.594,0.144,3.01,5.25,19,-2.18,0,1,3,BOTH,True,True,False,False,False,False,False,DOJI,NEUTRAL,0,False,
PSK.TO,RECLAIM_PENDING,D,3,8312161290.0,8.31,35.71,35.39,35.99,35.957,0.092,0.48,4.25,14,-1.67,0,1,2,BOTH,True,True,False,False,False,False,False,HAMMER_BEAR_BODY,BULL,2,False,BULL_CANDLE
HSLV.TO,RECLAIM_PENDING,D,1,1552883703.0,1.55,7.64,7.6,7.8,7.628,2.206,17.48,27.24,9,-2.56,0,0,1,PRE_BREAKOUT,True,True,False,False,False,False,False,STRONG_BEAR_CANDLE,BEAR,1,False,RS10+
EDR.TO,RECLAIM_PENDING,D,0,4175637267.0,4.18,14.12,13.97,14.35,14.639,2.013,21.23,31.79,21,-2.65,0,0,0,NONE,True,True,False,False,False,False,False,STRONG_BEAR_CANDLE,BEAR,2,False,RS20+
CGG.TO,WATCH_CLUSTER,A+,12,18948577139.0,18.95,47.59,46.7,44.39,44.174,0.487,84.45,2.64,13,5.2,2,1,1,PRE_BREAKOUT,False,False,True,False,False,False,False,BULL_CANDLE,BULL,7,False,RS20+|GRADE_A+|BULL_CANDLE
AYA.TO,WATCH_CLUSTER,A+,11,5582841630.0,5.58,38.78,38.36,38.1,38.19,0.235,55.35,7.62,22,0.68,2,1,0,NONE,False,False,True,False,False,False,False,BEARISH_ENGULFING,BEAR,5,False,RS20+|GRADE_A+
CEU.TO,WATCH_CLUSTER,A,8,4213599607.0,4.21,20.08,19.04,18.85,18.83,0.107,16.25,-1.11,21,1.01,2,0,0,NONE,False,False,True,False,False,False,False,STRONG_BULL_CANDLE,BULL,6,False,RS10+|GRADE_A|BULL_CANDLE
TRI.TO,WATCH_CLUSTER,A,6,58454989137.0,58.45,135.0,132.81,141.069,141.407,0.239,17.07,41.75,30,-5.85,0,0,0,NONE,True,True,False,False,False,False,False,BULL_CANDLE,BULL,4,False,RS10+|GRADE_A|BULL_CANDLE
PRU.TO,WATCH_CLUSTER,B,8,8453827459.0,8.45,6.37,6.37,6.166,6.127,0.635,31.47,7.41,10,3.3,2,1,1,PRE_BREAKOUT,False,False,True,False,False,False,False,BEAR_CANDLE,BEAR,4,False,RS20+|GRADE_B
FF.TO,WATCH_CLUSTER,B,7,1267958153.0,1.27,0.89,0.88,0.88,0.872,0.927,110.29,9.18,15,0.0,2,0,1,FORMING_NOW,True,False,True,False,False,True,True,BEAR_CANDLE,BEAR,5,False,RECLAIM_BREAKOUT|RS20+|GRADE_B
CVE.TO,WATCH_CLUSTER,B,7,84632401924.0,84.63,45.89,45.12,44.6,44.544,0.126,11.8,2.63,16,1.17,2,1,0,NONE,False,False,True,False,False,False,False,HAMMER,BULL,4,False,RS10+|GRADE_B|BULL_CANDLE
VLE.TO,WATCH_CLUSTER,C,7,1559216473.0,1.56,14.7,14.25,13.8,13.569,1.675,20.72,5.77,6,3.26,2,1,2,BOTH,False,False,True,False,False,False,False,BULL_CANDLE,BULL,3,False,RS20+|BULL_CANDLE
LGD.TO,WATCH_CLUSTER,C,5,1124744639.0,1.12,2.07,1.98,1.91,1.884,1.348,45.83,4.61,17,3.66,2,1,0,NONE,False,False,True,False,False,False,False,BULL_CANDLE,BULL,4,False,RS20+|BULL_CANDLE
OGC.TO,WATCH_CLUSTER,C,5,9313877550.0,9.31,41.84,41.47,41.84,41.05,1.888,15.11,28.71,14,-0.88,1,0,2,BOTH,True,False,False,False,False,False,False,BEAR_CANDLE,BEAR,1,False,RS10+
EDV.TO,WATCH_CLUSTER,C,4,20426929940.0,20.43,84.75,84.73,85.58,84.329,1.462,17.28,12.97,13,-0.99,1,0,1,PRE_BREAKOUT,True,False,False,False,False,False,False,BEAR_CANDLE,BEAR,1,False,RS10+
IGM.TO,WATCH_CLUSTER,D,5,20708408515.0,20.71,89.74,87.37,87.99,87.043,1.076,8.51,2.47,26,-0.7,1,1,3,BOTH,True,False,True,False,False,True,True,BULL_CANDLE,BULL,4,False,RECLAIM_BREAKOUT|BULL_CANDLE
CYB.TO,WATCH_CLUSTER,D,5,2111873039.0,2.11,97.0,95.73,95.8,94.738,1.108,6.31,1.97,9,-0.07,2,0,3,BOTH,True,False,True,False,False,True,True,HAMMER,BULL,4,False,RECLAIM_BREAKOUT|BULL_CANDLE
MFC.TO,WATCH_CLUSTER,D,4,100019548431.0,100.02,60.28,59.66,61.755,60.024,2.803,5.41,4.4,30,-3.39,0,1,3,BOTH,True,True,False,False,False,False,False,BEAR_CANDLE,BEAR,1,False,
BTE.TO,WATCH_CLUSTER,D,4,4866432027.0,4.87,6.96,6.77,6.81,6.658,2.238,2.96,5.23,6,-0.59,1,1,2,BOTH,True,False,True,False,False,True,True,BULL_CANDLE,BULL,3,False,RECLAIM_BREAKOUT|BULL_CANDLE
ELF.TO,WATCH_CLUSTER,D,4,6158899432.0,6.16,17.85,17.46,17.279,17.449,0.984,2.33,1.49,23,1.05,2,0,2,BOTH,False,True,True,False,False,False,False,BULL_CANDLE,BULL,2,False,BULL_CANDLE
AC.TO,WATCH_CLUSTER,D,3,7713025150.0,7.71,27.58,27.44,27.3,27.997,2.553,27.22,12.31,20,0.51,2,0,1,PRE_BREAKOUT,False,True,False,False,False,False,False,BEARISH_ENGULFING,BEAR,2,False,RS20+
CNQ.TO,WATCH_CLUSTER,D,3,142903179371.0,142.9,69.32,68.42,70.9,69.163,2.45,6.12,4.19,6,-3.5,0,1,2,BOTH,True,True,False,False,False,False,False,BULL_CANDLE,BULL,2,False,BULL_CANDLE
